name,owner,stars,age_days,merged_pull_requests,releases,update_frequency_days,primary_language,closed_issues_ratio,health_index
build-your-own-x,codecrafters-io,542286,3028,157,0,39,Markdown,0.711882229232387,0.30693580609694554
awesome,sindresorhus,499220,4426,702,0,2,,0.9565217391304348,0.4455631883545673
public-apis,public-apis,469045,3807,2152,0,3,Python,0.9680851063829788,0.5149376150084082
freeCodeCamp,freeCodeCamp,454473,4259,29163,0,1,TypeScript,0.9926663648709824,0.5964501699278942
free-programming-books,EbookFoundation,395075,4699,7424,0,5,Python,0.9691358024691358,0.5542962577383934
openclaw,openclaw,387235,272,27268,234,0,TypeScript,0.9229608187739068,0.5004414553887796
system-design-primer,donnemartin,365598,3465,210,0,156,Python,0.3135802469135803,0.4198639593369988
developer-roadmap,nilbuild,365232,3448,4401,1,2,TypeScript,0.9996861268047708,0.51328013790557
coding-interview-university,jwasham,359551,3730,415,0,360,,0.8488805970149254,0.3808609351062972
awesome-python,vinta,315648,4439,742,0,0,Python,,0.48226713986235653
awesome-selfhosted,awesome-selfhosted,314500,4101,0,1,0,,,0.3630744898974818
project-based-learning,practical-tutorials,280484,3420,194,0,6,Python,0.3666666666666666,0.43339102875371377
996.ICU,996icu,276763,2707,1072,0,366,,,0.28101059764771774
superpowers,obra,276576,317,167,12,3,Shell,0.8748551564310545,0.2476451426275455
react,react,247674,4839,13038,132,0,JavaScript,0.9434645884604868,0.5893625443226578
linux,torvalds,243951,5466,0,0,0,C,,0.3476825586410537
ECC,affaan-m,242439,217,998,15,2,JavaScript,0.9341736694677872,0.4035960069108468
the-book-of-secret-knowledge,trimstray,239981,2983,122,0,642,,,0.2664551189147551
hermes-agent,NousResearch,234802,396,11574,29,0,Python,0.4916577768295285,0.38882084836608266
skills,mattpocock,233504,201,95,7,2,Shell,0.4535050071530758,0.19772477631097157
Python,TheAlgorithms,223967,3690,3088,0,1,Python,0.9166666666666666,0.5082628188997789
vue,vuejs,210468,4773,1136,249,682,TypeScript,0.963723340641818,0.5367195753972327
computer-science,ossu,208351,4494,315,0,40,HTML,0.9748148148148148,0.3794822111775446
andrej-karpathy-skills,multica-ai,205643,208,12,0,125,,,0.19773829211481653
n8n,n8n-io,202105,2619,20354,775,0,TypeScript,0.965171661043858,0.6395417658372119
opencode,anomalyco,200589,479,7616,863,0,TypeScript,0.8352998616649036,0.544025442316138
tensorflow,tensorflow,197370,3942,49217,222,0,C++,0.982111598685946,0.5176357638441118
javascript-algorithms,trekhleb,196540,3074,309,0,28,JavaScript,0.6380697050938338,0.4513613650885202
FreeDomain,DigitalPlatDev,195243,815,0,0,11,Markdown,,0.19262769802025523
claw-code,ultraworkers,195109,145,143,0,7,Rust,0.9923146473779384,0.25311708873334593
vscode,microsoft,189338,4006,52327,234,0,TypeScript,0.9298352362885812,0.67320092768745
ohmyzsh,ohmyzsh,189322,6203,3656,0,0,Shell,0.9696850393700788,0.440470074603999
Microsoft-Activation-Scripts,massgravel,187995,2414,7,31,50,Batchfile,0.9972144846796658,0.3230931197579732
deepseek-harness,deepseek-ai,187484,10,0,4,2,TypeScript,,0.3338642226748133
AutoGPT,Significant-Gravitas,186811,1256,4787,118,0,Python,0.9257287705956908,0.45842933844677947
yt-dlp,yt-dlp,186446,2127,3418,136,2,Python,0.8344066237350506,0.4738267760914387
CS-Notes,CyC2018,185584,3113,374,0,732,,0.7754749568221071,0.3229848170458269
Python-100-Days,jackfrued,185523,3097,13,0,25,Jupyter Notebook,0.2643835616438356,0.26108038414912654
You-Dont-Know-JS,getify,184715,4663,370,0,189,,1.0,0.44503848974076504
awesome-go,avelino,182037,4431,3883,0,2,Go,0.9696969696969696,0.3879860735976247
ollama,ollama,179259,1153,3543,247,0,Go,0.7805739114691772,0.3059923713814943
flutter,flutter,178618,4187,49733,7,0,Dart,0.8910363732574581,0.4840924096204533
markitdown,microsoft,175695,647,184,20,3,Python,0.3142361111111111,0.34807588557786634
gitignore,github,175419,5766,1779,0,31,,,0.4323660589817265
bootstrap,twbs,174638,5503,9490,94,1,MDX,0.9954672245467224,0.4504866857448566
HelloGitHub,521xueweihan,172496,3763,17,68,21,Python,0.8125374925014996,0.5007361411303166
firecrawl,firecrawl,171281,859,1958,35,0,TypeScript,0.922996878251821,0.4269971612334109
skills,anthropics,171148,335,51,0,2,Python,0.1333333333333333,0.3159242646150523
prompts.chat,f,167809,1357,236,0,0,HTML,0.8786127167630058,0.27765573058388815
stable-diffusion-webui,AUTOMATIC1111,164621,1462,1875,27,174,Python,0.6940091001011123,0.40819219107327226
transformers,huggingface,164365,2855,20247,269,0,Python,0.955297157622739,0.569361721646032
the-art-of-command-line,jlevy,162160,4113,317,0,788,,0.5227272727272727,0.32175052092271195
JavaGuide,Snailclimb,157972,3030,1270,0,1,JavaScript,0.9499136442141624,0.4877624386648525
langflow,langflow-ai,153586,1291,7358,304,0,Python,0.9355685131195336,0.49464835984447064
dify,langgenius,153277,1229,13517,168,0,TypeScript,0.9839952895835564,0.49251178398802103
open-webui,open-webui,149659,1051,4087,167,0,Python,0.9790143084260732,0.4637335206925288
javascript,airbnb,148129,5042,822,0,128,JavaScript,0.9293785310734464,0.5367763581624279
scrcpy,Genymobile,148119,3196,153,52,6,C,0.545779801593755,0.3037850916914588
agency-agents,msitarzewski,147545,314,222,0,17,Shell,0.5918367346938775,0.21440786848226298
langchain,langchain-ai,144830,1406,17290,1000,0,Python,0.9668491786958686,0.6298536989253499
system-prompts-and-models-of-ai-tools,x1xhlol,143027,536,52,0,12,,0.5754716981132075,0.2578362398048282
claude-code,anthropics,142738,546,162,197,0,Python,0.8331961750217328,0.42789635378297325
tech-interview-handbook,yangshun,142099,3701,494,0,16,TypeScript,0.7301587301587301,0.48122821723777875
next.js,vercel,141893,3608,28281,1000,0,JavaScript,0.9312217553318004,0.7182936688313932
youtube-dl,ytdl-org,140995,5775,1646,341,185,Python,0.864788312462731,0.601331590711236
clash-verge-rev,clash-verge-rev,139638,1005,1020,67,0,TypeScript,0.9334708612686952,0.43502470001026805
