sprint,data_snapshot,issue_number,titulo,status,assignees,url
S03,2026-08-26,47,Snapshot de fechamento da sprint S03,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/47
S03,2026-08-26,49,Relatório Final,Done,ArthurPanzera13;GabrielReiiss;felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/49
S03,2026-08-26,54,Relatório: revisão final,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/54
S03,2026-08-26,53,Relatório: seção de introdução,Done,GabrielReiiss,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/53
S03,2026-08-26,64,Amostragem por faixa de stars (bypass do limite de 1.000 resultados),Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/64
S03,2026-08-26,43,[RQ01 e RQ02] - Análise e gráficos: maturidade e contribuição externa,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/43
S03,2026-08-26,63,Otimização do script de paginação,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/63
S03,2026-08-26,50,Relatório: metodologia de coleta,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/50
S03,2026-08-26,33,Análise de correlação entre as métricas,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/33
S03,2026-08-26,52,Relatório: discussão hipótese vs. resultado,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/52
S03,2026-08-26,46,"[RQ07] - Cruzamento por linguagem: contribuição, releases e atualização",Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/46
S03,2026-08-26,45,[RQ05 e RQ06] - Análise e gráficos: linguagem e issues fechadas,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/45
S03,2026-08-26,6,[RQ06] - Coleta: percentual de issues fechadas,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/6
S03,2026-08-26,25,Primeiro snapshot de fechamento de sprint,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/25
S03,2026-08-26,2,[RQ02] - Coleta: volume de contribuição externa,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/2
S03,2026-08-26,29,Arquitetura do dashboard Streamlit (estrutura de páginas e carregamento de dados),Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/29
S03,2026-08-26,22,[RQ03 e RQ04] - Validação + hipótese informal,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/22
S03,2026-08-26,1,[RQ01] - Coleta: idade e maturidade dos repositórios,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/1
S03,2026-08-26,20,Exportação de dados em .csv,Done,ArthurPanzera13,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/20
S03,2026-08-26,31,Comparador de repositório individual vs. população,Done,felipeaps46,https://github.com/GabrielReiiss/Lab-ExperimentacaoDeSoftware/issues/31
